1,3
2,3
3,3
4,1
5,3
6,1
7,1
8,1
9,3
10,1
11,1
12,3
13,2
14,3
15,3
16,3
17,3
18,3
19,0
20,3
21,1
22,1
23,1
24,3
25,1
26,1
27,1
28,1
29,3
30,3
31,3
32,1
33,1
34,1
35,3
36,3
37,3
38,1
39,3
40,3
41,1
42,1
43,3
44,3
45,3
46,3
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,3
55,3
56,3
57,1
58,1
59,1
60,1
61,3
62,0
63,3
64,1
65,3
66,1
67,3
68,3
69,3
70,0
71,3
72,0
73,0
74,0
75,0
76,0
77,3
78,3
79,3
80,3
81,3
82,3
83,0
84,0
85,0
86,0
87,3
88,3
89,0
90,3
91,3
92,0
93,3
94,0
95,3
96,1
97,0
98,0
99,3
100,3
101,3
102,3
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,3
112,3
113,3
114,1
115,1
116,3
117,0
118,3
119,3
120,0
121,0
122,3
123,3
124,3
125,0
126,0
127,3
128,3
129,0
130,1
131,1
132,3
133,3
134,0
135,1
136,3
137,3
138,0
139,1
140,3
141,3
142,3
143,1
144,3
145,3
146,3
147,3
148,1
149,3
150,0
151,0
152,3
153,0
154,3
155,3
156,1
157,3
158,3
159,0
160,3
161,3
162,3
163,3
164,0
165,0
166,0
167,3
168,0
169,3
170,3
171,3
172,0
173,0
174,1
175,0
176,3
177,0
178,2
179,0
180,0
181,0
182,3
183,0
184,3
185,0
186,0
187,3
188,3
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,3
198,1
199,2
200,2
201,2
202,2
203,3
204,2
205,2
206,2
207,2
208,3
